标签类型,一级标签
二级类目高偏好,太阳眼镜
二级类目高偏好,功能小包
二级类目高偏好,滑雪
二级类目高偏好,运动帽
二级类目高偏好,休闲鞋
二级类目高偏好,毛巾/浴巾/浴袍
二级类目高偏好,窗帘门帘及配件
二级类目高偏好,保暖背心
二级类目高偏好,棉衣
二级类目高偏好,民族服装（新）
二级类目高偏好,新鲜蔬菜/蔬菜制品
二级类目高偏好,烧烤/烘焙用具
二级类目高偏好,宠物服饰及配件
二级类目高偏好,猫/狗居家用品
二级类目高偏好,连体衣/裤
二级类目高偏好,雨鞋
二级类目高偏好,收纳/陈列用品
二级类目高偏好,实体卡/券/票等（非演艺类）
二级类目高偏好,床类
二级类目高偏好,家务/地板清洁用具
二级类目高偏好,无线耳机
二级类目高偏好,牛仔裤
二级类目高偏好,鞋带
二级类目高偏好,仿真/过家家玩具
二级类目高偏好,奶制品
二级类目高偏好,厨用工具
二级类目高偏好,养生茶
二级类目高偏好,全价猫主粮
二级类目高偏好,海绵垫/布料/面料/手工diy
二级类目高偏好,指甲油/美甲产品（新）
二级类目高偏好,代用/花草/水果/再加工茶
二级类目高偏好,露营/野炊装备
二级类目高偏好,按摩器材
二级类目高偏好,生肉/肉制品
二级类目高偏好,玩具乐器
二级类目高偏好,药食同源食品
二级类目高偏好,鞋用品
二级类目高偏好,身体清洁(新）
二级类目高偏好,早教/智能玩具
二级类目高偏好,卫浴五金
二级类目高偏好,消毒用品
二级类目高偏好,靴子
二级类目高偏好,卫裤
二级类目高偏好,衬衫
二级类目高偏好,服饰配件
二级类目高偏好,其它首饰
二级类目高偏好,方便粉丝/米线/粥汤速食
二级类目高偏好,米/面粉/杂粮
二级类目高偏好,串珠/拼图/配对/拆装/敲打玩具
二级类目高偏好,米面制品
二级类目高偏好,美甲工具
二级类目高偏好,其他闲置
二级类目高偏好,白酒/调香白酒
二级类目高偏好,服饰箱包定制
二级类目高偏好,低温乳制品
二级类目高偏好,汽车内饰品
二级类目高偏好,防护用品
二级类目高偏好,扫地机及配件耗材
二级类目高偏好,时尚帆布包
二级类目高偏好,半宝晶石
二级类目高偏好,洗衣机
二级类目高偏好,伤口敷料
二级类目高偏好,个护美妆
二级类目高偏好,水饮料
二级类目高偏好,精油芳疗
二级类目高偏好,胶粘用品
二级类目高偏好,手包
二级类目高偏好,电吹风
二级类目高偏好,男士内裤
二级类目高偏好,女士鞋靴
二级类目高偏好,彩妆套装（新）
二级类目高偏好,猫/狗玩具
二级类目高偏好,室内除臭/芳香用品
二级类目高偏好,防晒（新）
二级类目高偏好,保健护具(护腰/膝/腿/颈)
二级类目高偏好,肉类禽蛋
二级类目高偏好,水杯/餐具/研磨/辅食用具
二级类目高偏好,儿童户外服
二级类目高偏好,猫/狗如厕用品
二级类目高偏好,OTC药品
二级类目高偏好,相框/画框
二级类目高偏好,运动棉衣
二级类目高偏好,首饰收纳
二级类目高偏好,皮衣
二级类目高偏好,睡裤/家居裤
二级类目高偏好,男士包袋
二级类目高偏好,一次性餐桌用品
二级类目高偏好,手工制作/创意DIY
二级类目高偏好,休闲零食
二级类目高偏好,厨房
二级类目高偏好,翡翠（新）
二级类目高偏好,汽车专用收纳
二级类目高偏好,羽绒马甲
二级类目高偏好,踏步机/中小型健身器材
二级类目高偏好,制衣面料
二级类目高偏好,运动内衣
二级类目高偏好,围巾/手套/帽子套件
二级类目高偏好,吊灯(新增)
二级类目高偏好,智能设备配件
二级类目高偏好,地区民间特色手工艺
二级类目高偏好,被套
二级类目高偏好,亲子装/亲子时装
二级类目高偏好,镜子类
二级类目高偏好,卡通/动漫周边
二级类目高偏好,婴童营养品
二级类目高偏好,时尚单鞋
二级类目高偏好,工艺礼品
二级类目高偏好,酒壶/酒杯/酒具
二级类目高偏好,领部配件
二级类目高偏好,洗地机及配件/耗材
二级类目高偏好,教学演示/展示告示用品
二级类目高偏好,豆干制品/蔬菜干
二级类目高偏好,板鞋
二级类目高偏好,儿童棋类/桌面游戏
二级类目高偏好,彩色隐形眼镜
二级类目高偏好,领带夹
二级类目高偏好,养生壶/煎药壶/养生杯
二级类目高偏好,猫零食
二级类目高偏好,园艺用品
二级类目高偏好,便携电源
二级类目高偏好,和田玉
二级类目高偏好,染发烫发
二级类目高偏好,腌制蔬菜/泡菜/酱菜/脱水蔬菜
二级类目高偏好,双肩背包
二级类目高偏好,防尘保护罩
二级类目高偏好,床垫类
二级类目高偏好,其它定制
二级类目高偏好,男士服装
二级类目高偏好,抹胸
二级类目高偏好,纸品/湿巾
二级类目高偏好,口腔电子/智能产品
二级类目高偏好,家具
二级类目高偏好,湿巾
二级类目高偏好,运动袜
二级类目高偏好,高帮鞋
二级类目高偏好,花瓶/花器/花盆/花架（新）
二级类目高偏好,装饰器皿
二级类目高偏好,床垫/床褥/床护垫/榻榻米床垫
二级类目高偏好,童装
二级类目高偏好,游乐/教学设备/大型设施
二级类目高偏好,古风/国风服装
二级类目高偏好,卫浴家具
二级类目高偏好,幼儿响铃/布玩/安抚玩具
二级类目高偏好,家用保健器材
二级类目高偏好,文胸套装
二级类目高偏好,奶酪/奶制品
二级类目高偏好,吸顶灯(新)
二级类目高偏好,面部美容仪
二级类目高偏好,猫/狗美容护理工具
二级类目高偏好,礼品包装
二级类目高偏好,电动/遥控/惯性/发条玩具
二级类目高偏好,小众天然玉石
二级类目高偏好,床笠
二级类目高偏好,护眼灯
二级类目高偏好,拖鞋
二级类目高偏好,家用五金
二级类目高偏好,平板电脑配件
二级类目高偏好,枕套
二级类目高偏好,常规马甲
二级类目高偏好,钻石首饰（新）
二级类目高偏好,生活鲜花
二级类目高偏好,葡萄酒（新）
二级类目高偏好,拉拉裤/学步裤/成长裤（新）
二级类目高偏好,文房四宝用品
二级类目高偏好,期刊杂志
二级类目高偏好,海鲜水产
二级类目高偏好,玉米
二级类目高偏好,中式加工餐饮成品类
二级类目高偏好,头发造型（新）
二级类目高偏好,婴幼儿牛奶粉
二级类目高偏好,宝宝卫浴用品
二级类目高偏好,猫/狗出行用品
二级类目高偏好,卫浴用品/配件
二级类目高偏好,家用电器
二级类目高偏好,袖扣
二级类目高偏好,银饰
二级类目高偏好,保鲜容器/保鲜器皿
二级类目高偏好,童鞋/青少年鞋
二级类目高偏好,电饭煲
二级类目高偏好,猫/狗保健品
二级类目高偏好,咖啡机及配件耗材辅料
二级类目高偏好,蛋/蛋制品
二级类目高偏好,儿童包/背包/箱包
二级类目高偏好,家纺布艺
二级类目高偏好,舒适汽车座驾
二级类目高偏好,智能手表
二级类目高偏好,旅行装/体验装
二级类目高偏好,床单
二级类目高偏好,笔记本电脑配件
二级类目高偏好,全价狗主粮
二级类目高偏好,燕窝滋补品
二级类目高偏好,帆布鞋
二级类目高偏好,睡衣上装
二级类目高偏好,冰箱
二级类目高偏好,彩色宝石/贵重宝石
二级类目高偏好,耳机周边
二级类目高偏好,婴儿手推车/学步车
二级类目高偏好,母婴厨房小家电
二级类目高偏好,风衣
二级类目高偏好,塑身美体裤
二级类目高偏好,宝宝洗浴
二级类目高偏好,画具/画材用品
二级类目高偏好,防晒服配
二级类目高偏好,包袋配件
二级类目高偏好,汽车香水香薰
二级类目高偏好,学习/实验/绘画文具
二级类目高偏好,POLO衫
二级类目高偏好,创意饰品
二级类目高偏好,面部健康
二级类目高偏好,火锅/肉类/米饭类速食
二级类目高偏好,3C数码
二级类目高偏好,种子/种苗/球根
二级类目高偏好,猫/狗饮食用品
二级类目高偏好,调味加工食品
二级类目高偏好,纸尿裤（新）
二级类目高偏好,补差价/邮费
二级类目高偏好,瑞士腕表
二级类目高偏好,国际医药
二级类目高偏好,设计服务
二级类目高偏好,生活娱乐线上会员
二级类目高偏好,古董收藏
二级类目高偏好,方便速食
二级类目高偏好,调味品
二级类目高偏好,运动护具（新）
二级类目高偏好,家庭防尘用具
二级类目高偏好,清洁护理小用品
二级类目高偏好,lolita/洛丽塔
二级类目高偏好,静态模型
二级类目高偏好,汉服/民族特色服配
二级类目高偏好,Polo衫
二级类目高偏好,皮草
二级类目高偏好,音箱/音响
二级类目高偏好,运动裙
二级类目高偏好,壁灯
二级类目高偏好,木作制品
二级类目高偏好,空气净化器
二级类目高偏好,吸尘器及配件耗材
二级类目高偏好,DIY编织材料包
二级类目高偏好,矫姿用品
二级类目高偏好,办公用品
二级类目高偏好,户外运动/休闲/传统玩具
二级类目高偏好,奶瓶/奶瓶相关
二级类目高偏好,西裤
二级类目高偏好,童车/儿童轮滑
二级类目高偏好,牙胶/牙刷/牙膏
二级类目高偏好,背心
二级类目高偏好,儿童牛仔
二级类目高偏好,直播/摄影配件
二级类目高偏好,卫浴陶瓷
二级类目高偏好,鱿鱼丝/鱼干/海味即食
二级类目高偏好,配件专区
二级类目高偏好,食用油/调味油
二级类目高偏好,接线板/插头
二级类目高偏好,小说
二级类目高偏好,猫/狗美容护理用品
二级类目高偏好,头皮护理
二级类目高偏好,手办/兵人/扭蛋
二级类目高偏好,皮鞋/演出鞋/舞蹈鞋
二级类目高偏好,儿童演出服
二级类目高偏好,幼儿爬行/学步/健身
二级类目高偏好,狗零食
二级类目高偏好,进口原版书(含港台)
二级类目高偏好,高帮鞋
二级类目高偏好,眼镜配件、护理剂
二级类目高偏好,油漆
二级类目高偏好,露酒/果酒
二级类目高偏好,家用五金工具
二级类目高偏好,宝宝辅食
二级类目高偏好,净水器及配件耗材
二级类目高偏好,厨房大电
二级类目高偏好,美容/美体辅助工具
二级类目高偏好,待产用品
二级类目高偏好,奶粉
二级类目高偏好,口罩（器械）
二级类目高偏好,旅行袋
二级类目高偏好,动漫/周边
二级类目高偏好,奶嘴/奶嘴相关
二级类目高偏好,净菜/半成品菜/快手菜
二级类目高偏好,烘焙原料/辅料/食品添加剂
二级类目高偏好,皮肤消毒护理（消）
二级类目高偏好,案/台类
二级类目高偏好,西服
二级类目高偏好,电子/发光/整蛊/解压/充气玩具
二级类目高偏好,伞/雨具/防雨/防潮
二级类目高偏好,游戏/电竞实物周边
二级类目高偏好,破壁机
二级类目高偏好,帆布鞋
二级类目高偏好,篮球鞋
二级类目高偏好,塑身连体衣
二级类目高偏好,参类滋补品
二级类目高偏好,冲饮谷物/麦片
二级类目高偏好,时尚防晒服
二级类目高偏好,儿童机器人/变形/拼装/人偶玩具
二级类目高偏好,低温乳类烘焙原料
二级类目高偏好,口袋巾
二级类目高偏好,数码包/收纳/整理
二级类目高偏好,宠物/用品
二级类目高偏好,无主灯类灯饰
二级类目高偏好,文学
二级类目高偏好,隐形眼镜
二级类目高偏好,家居服/哺乳装/秋衣裤
二级类目高偏好,家居钟饰/闹钟
二级类目高偏好,平板电视
二级类目高偏好,背心吊带
二级类目高偏好,USB数码周边
二级类目高偏好,水族食品及用品
二级类目高偏好,餐椅
二级类目高偏好,电动车装备区
二级类目高偏好,骑行服饰/骑行装备
二级类目高偏好,羽毛球
二级类目高偏好,练字本/练字板
二级类目高偏好,宝宝零食
二级类目高偏好,经络保健器材
二级类目高偏好,钟表眼镜
二级类目高偏好,国产腕表
二级类目高偏好,瓷砖
二级类目高偏好,中国移动充值卡
二级类目高偏好,办公家具
二级类目高偏好,台式净饮机
二级类目高偏好,电蒸锅/台式电蒸箱/肠粉机
二级类目高偏好,裁剪用品
二级类目高偏好,屏风/花窗
二级类目高偏好,微波炉
二级类目高偏好,综合训练鞋/室内健身鞋
二级类目高偏好,超声波迷你清洗机
二级类目高偏好,拖鞋
二级类目高偏好,日用/装饰定制
二级类目高偏好,国际隐形眼镜/护理液
二级类目高偏好,Cosplay服饰/道具/服务
二级类目高偏好,红茶
二级类目高偏好,艺术
二级类目高偏好,雕刻工艺
二级类目高偏好,键盘
二级类目高偏好,蜂蜜及其制品
二级类目高偏好,热水器
二级类目高偏好,电热火锅/煎锅
二级类目高偏好,普通数码相机
二级类目高偏好,婴儿礼盒
二级类目高偏好,门
二级类目高偏好,阿胶膏方
二级类目高偏好,办公用纸
二级类目高偏好,吸奶器/配件
二级类目高偏好,地板
二级类目高偏好,电子教育
二级类目高偏好,香包/香囊
二级类目高偏好,洗鼻器／吸鼻器
二级类目高偏好,绘图测量用品
二级类目高偏好,反穿衣/罩衣
二级类目高偏好,烧烤炉/烤架
二级类目高偏好,摇篮/摇椅/床护栏
二级类目高偏好,西服外套
二级类目高偏好,鲜花速递(同城)
二级类目高偏好,祛疤产品
二级类目高偏好,水果制品
二级类目高偏好,功能眼镜
二级类目高偏好,床盖
二级类目高偏好,智能锁/电子锁
二级类目高偏好,汽车清洗用品/清洗工具
二级类目高偏好,解锁/迷宫/魔方/智力玩具
二级类目高偏好,清洁液/洗衣液/柔顺剂
二级类目高偏好,洗碗机
二级类目高偏好,洋酒
二级类目高偏好,滋补养生原料
二级类目高偏好,电子办公/学习设备
二级类目高偏好,社会科学
二级类目高偏好,户外/庭院家具
二级类目高偏好,家装/建材
二级类目高偏好,套装
二级类目高偏好,孕妇裤/托腹裤
二级类目高偏好,大码男装
二级类目高偏好,智能家居系统
二级类目高偏好,母婴用品
二级类目高偏好,壁饰
二级类目高偏好,运动套装
二级类目高偏好,塑身上衣
二级类目高偏好,孕妇装
二级类目高偏好,聚会/魔术/演出用品
二级类目高偏好,榨汁机/原汁机
二级类目高偏好,室外灯饰
二级类目高偏好,收藏卡牌/卡片
二级类目高偏好,剃须刀
二级类目高偏好,童鞋
二级类目高偏好,情趣内衣
二级类目高偏好,单肩背包
二级类目高偏好,高尔夫
二级类目高偏好,机械五金
二级类目高偏好,空气炸锅
二级类目高偏好,装订用品
二级类目高偏好,膏药贴（器械）
二级类目高偏好,芭蕾舞
二级类目高偏好,乌龙茶（新）
二级类目高偏好,护具（器械）
二级类目高偏好,果冻/布丁
二级类目高偏好,棋牌/桌游
二级类目高偏好,保健护理
二级类目高偏好,猫/狗药品
二级类目高偏好,空调
二级类目高偏好,哺乳文胸/内裤/产检裤
二级类目高偏好,电磁炉/陶炉
二级类目高偏好,儿童玩具枪
二级类目高偏好,鸟/鸡/鸭等禽类食品及用品
二级类目高偏好,枕巾
二级类目高偏好,防撞/提醒/安全/保护
二级类目高偏好,监控器材及系统
二级类目高偏好,其他打印设备
二级类目高偏好,普洱
二级类目高偏好,音乐玩具/儿童乐器
二级类目高偏好,绞肉/碎肉/绞菜机
二级类目高偏好,麻将/棋牌/益智类
二级类目高偏好,蓝帽子保健食品
二级类目高偏好,娃衣
二级类目高偏好,水族类宠物
二级类目高偏好,汽车加装
二级类目高偏好,新鲜蛋糕/低温糕点/短保烘焙
二级类目高偏好,运营物资
二级类目高偏好,乳贴
二级类目高偏好,欧美腕表
二级类目高偏好,汉服鞋/绣花鞋/传统布鞋
二级类目高偏好,新型装饰材料
二级类目高偏好,牛仔外套
二级类目高偏好,仿真花/绿植/蔬果成品（新）
二级类目高偏好,智能儿童手表
二级类目高偏好,啤酒
二级类目高偏好,快餐/小吃/西式快餐
二级类目高偏好,美体/塑身塑形/增高用具
二级类目高偏好,男士鞋靴
二级类目高偏好,其它玩具
二级类目高偏好,无线鼠标
二级类目高偏好,货架/展柜
二级类目高偏好,熟食/卤味/即食菜
二级类目高偏好,彩泥/粘土/软陶泥
二级类目高偏好,抹胸
二级类目高偏好,男士面部护理
二级类目高偏好,跑步机/大型健身器械
二级类目高偏好,头戴耳机
二级类目高偏好,儿童礼服
二级类目高偏好,防护/救生装备
二级类目高偏好,急救护理
二级类目高偏好,电煮锅
二级类目高偏好,其它
二级类目高偏好,电压力锅
二级类目高偏好,投影仪
二级类目高偏好,哺乳用品
二级类目高偏好,办公/文具定制
二级类目高偏好,哲学和宗教
二级类目高偏好,其它配件
二级类目高偏好,枸杞及其制品
二级类目高偏好,电脑周边
二级类目高偏好,胶卷相机
二级类目高偏好,商业配套设施
二级类目高偏好,仪器仪表
二级类目高偏好,浴霸
二级类目高偏好,烘焙半成品/蛋挞/披萨
二级类目高偏好,数码周边
二级类目高偏好,鼠类等小宠食品及用品
二级类目高偏好,挂毯/壁毯
二级类目高偏好,婚纱礼服配件
二级类目高偏好,汽车防护用品
二级类目高偏好,麦克风/话筒
二级类目高偏好,影视/明星周边
二级类目高偏好,单电微单
二级类目高偏好,插座
二级类目高偏好,老爹鞋
二级类目高偏好,酒
二级类目高偏好,粮油米面
二级类目高偏好,图书
二级类目高偏好,艺术家潮玩
二级类目高偏好,摩托车骑士装备
二级类目高偏好,保健/心理类书籍
二级类目高偏好,品牌打火机及配件
二级类目高偏好,浴缸/淋浴房
二级类目高偏好,局部护理
二级类目高偏好,汽车/用品
二级类目高偏好,干衣机
二级类目高偏好,网球
二级类目高偏好,西服套装
二级类目高偏好,电炖锅/煲汤锅/电炖盅
二级类目高偏好,钟
二级类目高偏好,血糖用品
二级类目高偏好,花艺包装/材料
二级类目高偏好,知识服务
二级类目高偏好,永生花/干花
二级类目高偏好,手动工具
二级类目高偏好,绘画类用品
二级类目高偏好,模型制作工具/辅料耗材
二级类目高偏好,女用器具
二级类目高偏好,墙纸/墙布
二级类目高偏好,仓配物资
二级类目高偏好,凉鞋
二级类目高偏好,涂料（乳胶漆）
二级类目高偏好,保健理疗
二级类目高偏好,宝宝纪念品/个性产品
二级类目高偏好,仓储家具
二级类目高偏好,布尿裤/尿垫
二级类目高偏好,游泳池/戏水玩具
二级类目高偏好,军迷服饰/军迷用品
二级类目高偏好,手机
二级类目高偏好,纸制品
二级类目高偏好,板材木方
二级类目高偏好,自行车整车
二级类目高偏好,登山攀岩攀冰
二级类目高偏好,娃娃/配件/着替
二级类目高偏好,胸包
二级类目高偏好,冰淇淋/冻品
二级类目高偏好,驱虫用品
二级类目高偏好,帆布鞋
二级类目高偏好,驱虫用品
二级类目高偏好,帆布鞋
二级类目高偏好,五金工具
二级类目高偏好,显示器/显示屏/显示器配件
二级类目高偏好,数码相机配件
二级类目高偏好,孕产妇护肤/洗护/祛纹
二级类目高偏好,包装用品定制
二级类目高偏好,代金券/提货券
二级类目高偏好,服饰家具
二级类目高偏好,腰包
二级类目高偏好,物流包装
二级类目高偏好,现代舞
二级类目高偏好,新国风舞/古典舞
二级类目高偏好,日韩腕表
二级类目高偏好,运动相机/数码摄像机
二级类目高偏好,十字绣及工具配件
二级类目高偏好,劳保用品
二级类目高偏好,旅行收纳用具
二级类目高偏好,汽车文化产品
二级类目高偏好,棉花娃娃
二级类目高偏好,运动拖鞋
二级类目高偏好,服务类
二级类目高偏好,扇/迷你风扇/配件/冰垫/冰贴
二级类目高偏好,学历/职业资格考试
二级类目高偏好,智能手环
二级类目高偏好,光源
二级类目高偏好,运动POLO衫
二级类目高偏好,游戏软件平台
二级类目高偏好,按摩椅/沙发
二级类目高偏好,乐器配件
二级类目高偏好,自行车/单车装备
二级类目高偏好,紧固件
二级类目高偏好,校服/园服
二级类目高偏好,音像
二级类目高偏好,驼奶及驼奶粉
二级类目高偏好,花园植物/行道树/果树
二级类目高偏好,墨粉硒鼓耗材类
二级类目高偏好,干电池/充电电池/套装
二级类目高偏好,塑料包装
二级类目高偏好,园艺植物
二级类目高偏好,刀具/多用工具
二级类目高偏好,儿童奶粉
二级类目高偏好,跆拳道/武术/搏击
二级类目高偏好,运动风衣
二级类目高偏好,兔类食品及用品
二级类目高偏好,家用游戏机
二级类目高偏好,防水箱包
二级类目高偏好,其它
二级类目高偏好,拉丁舞
二级类目高偏好,喷墨打印设备
二级类目高偏好,皮肤及性病用药
二级类目高偏好,高达/机甲模型/机器人/变形类
二级类目高偏好,篮球
二级类目高偏好,户外照明
二级类目高偏好,汽车贴膜
二级类目高偏好,汽车儿童安全座椅/附件
二级类目高偏好,绿茶（新）
二级类目高偏好,演艺/表演类门票
二级类目高偏好,财会用品
二级类目高偏好,路由器
二级类目高偏好,手工艺/民俗
二级类目高偏好,车船模/军模/无人机/穿越机
二级类目高偏好,机电五金
二级类目高偏好,轮滑/滑板/极限运动
二级类目高偏好,自行车/用品
二级类目高偏好,肚兜
二级类目高偏好,游戏设备
二级类目高偏好,胶带
二级类目高偏好,家电配件
二级类目高偏好,设计服务
二级类目高偏好,生活家电配件
二级类目高偏好,教学服务
二级类目高偏好,医学卫生
二级类目高偏好,智能摄像
二级类目高偏好,蚊帐
二级类目高偏好,脱毛仪器
二级类目高偏好,少女文胸
二级类目高偏好,长租房源
二级类目高偏好,摩托车/用品
二级类目高偏好,火车票
二级类目高偏好,配件
二级类目高偏好,运动沙滩鞋/凉鞋
二级类目高偏好,游戏代练（新）
二级类目高偏好,电动二轮车整车
二级类目高偏好,羽毛球鞋
二级类目高偏好,汽车专用电器
二级类目高偏好,短裤
二级类目高偏好,游戏手柄
二级类目高偏好,心脑血管
二级类目高偏好,汽车专用电子
二级类目高偏好,茶吧机/泡茶机
二级类目高偏好,电动车/用品
二级类目高偏好,商厨加热类设备
二级类目高偏好,窗
二级类目高偏好,工位器具
二级类目高偏好,足球
二级类目高偏好,驱蚊用品
二级类目高偏好,有线耳机
二级类目高偏好,创意植物
二级类目高偏好,脚链
二级类目高偏好,电动车零/配件
二级类目高偏好,电饼铛/华夫饼机/薄饼机
二级类目高偏好,新能源充电设备/用品
二级类目高偏好,投影仪配件
二级类目高偏好,晾衣架/晾衣杆
二级类目高偏好,猫咪
二级类目高偏好,汽车智能网联
二级类目高偏好,电动工具
二级类目高偏好,文化/体育周边
二级类目高偏好,乒乓球
二级类目高偏好,鸟/鸡/鸭等禽类宠物
二级类目高偏好,外观件
二级类目高偏好,包装设备/标牌及耗材
二级类目高偏好,吉他/电贝司/尤克里里
二级类目高偏好,智能商业/楼宇系统
二级类目高偏好,轴承
二级类目高偏好,餐饮/烘焙家具
二级类目高偏好,水管管材
二级类目高偏好,键帽
二级类目高偏好,民族乐器
二级类目高偏好,其他
二级类目高偏好,汽车养护用品
二级类目高偏好,男士理容工具
二级类目高偏好,冷藏
二级类目高偏好,影音家电配件
二级类目高偏好,狗狗
二级类目高偏好,汽车电子防盗安防
二级类目高偏好,体重秤/健康秤/体脂秤
二级类目高偏好,冷柜/便携冷热箱
二级类目高偏好,电气控制
二级类目高偏好,牛仔衬衫
二级类目高偏好,城市/景观家具
二级类目高偏好,摩托车配件
二级类目高偏好,单反镜头
二级类目高偏好,住宅用房
二级类目高偏好,电子零件
二级类目高偏好,自行车零/配件
二级类目高偏好,适老卫浴
二级类目高偏好,基础材料耗材
二级类目高偏好,集成吊顶
二级类目高偏好,粽子
二级类目高偏好,生鲜水果
二级类目高偏好,阀门
二级类目高偏好,普通U盘/固态U盘/音乐U盘
二级类目高偏好,电信话费充值卡
二级类目高偏好,雨鞋
二级类目高偏好,国创拼装/成品机甲
二级类目高偏好,开关
二级类目高偏好,闪存卡
二级类目高偏好,垂钓装备
二级类目高偏好,游戏软件
二级类目高偏好,血压计（电子血压计）
二级类目高偏好,磁铁及制品
二级类目高偏好,鞋配件
二级类目高偏好,DIY兼容机
二级类目高偏好,台式整机
二级类目高偏好,超市家具
二级类目高偏好,音乐CD/DVD
二级类目高偏好,游戏掌机
二级类目高偏好,量具
二级类目高偏好,DS/3DS专用配件
二级类目高偏好,痛包
二级类目高偏好,网络设备
二级类目高偏好,书法/绘画
二级类目高偏好,汽保工具
二级类目高偏好,汽车美容用品
二级类目高偏好,凉席
二级类目高偏好,刃具
二级类目高偏好,多功能电动车
二级类目高偏好,摩托车装饰养护
二级类目高偏好,足球鞋
二级类目高偏好,商厨制冷类设备
二级类目高偏好,成年人护理用品
二级类目高偏好,望远镜/夜视仪/户外眼镜
二级类目高偏好,一体机
二级类目高偏好,气动元件/系统/装置
二级类目高偏好,烟具
二级类目高偏好,其他游戏点卡
二级类目高偏好,随身wifi
二级类目高偏好,焊接设备及耗材
二级类目高偏好,吊扇/隐形吊扇/装饰吊扇
二级类目高偏好,车用附件
二级类目高偏好,爬宠/鸣虫类宠物
二级类目高偏好,MP3/MP4配件
二级类目高偏好,防水材料（新）
二级类目高偏好,机械及行业设备
二级类目高偏好,雨刮
二级类目高偏好,气动工具
二级类目高偏好,摩托车整车
二级类目高偏好,液压/起重工具
二级类目高偏好,传动件
二级类目高偏好,线材/线类
二级类目高偏好,电子美容仪（器械）
二级类目高偏好,无源元件
二级类目高偏好,自行车修车工具
二级类目高偏好,商厨食品机械
二级类目高偏好,台球
二级类目高偏好,床幔
二级类目高偏好,显卡
二级类目高偏好,固态硬盘
二级类目高偏好,轮胎
二级类目高偏好,工程/商业/办公照明
二级类目高偏好,内饰系统
二级类目高偏好,冷冻
二级类目高偏好,有线鼠标
二级类目高偏好,换气扇/排气扇
二级类目高偏好,运动首饰
二级类目高偏好,散热器/风扇
二级类目高偏好,凉鞋
二级类目高偏好,电工配件
二级类目高偏好,垂钓钓竿
二级类目高偏好,电动滑板车
二级类目高偏好,钢材
二级类目高偏好,男用器具
二级类目高偏好,电线
二级类目高偏好,广场舞
二级类目高偏好,Hifi音箱/功放/器材
二级类目高偏好,理发器
二级类目高偏好,滤芯
二级类目高偏好,家电影音周边配件
二级类目高偏好,机箱
二级类目高偏好,油品
二级类目高偏好,膨化食品
二级类目高偏好,智能电脑硬件
二级类目高偏好,垂钓鱼饵
二级类目高偏好,底盒
二级类目高偏好,照明系统
二级类目高偏好,开关/按钮
二级类目高偏好,CPU
二级类目高偏好,二手手机
二级类目高偏好,防盗系统
二级类目高偏好,内存
二级类目高偏好,中餐
二级类目高偏好,男科用药
二级类目高偏好,舞台设备
二级类目高偏好,电源及电源管理
二级类目高偏好,主板
二级类目高偏好,畜牧/养殖设备
二级类目高偏好,连接器
二级类目高偏好,电机/马达
二级类目高偏好,新入网手机号套餐
二级类目高偏好,游戏
二级类目高偏好,开发板/开发套件
二级类目高偏好,肩带
二级类目高偏好,肥料
二级类目高偏好,演出
二级类目高偏好,电风扇
二级类目高偏好,种子/种苗
二级类目高偏好,电气系统
二级类目高偏好,农药
二级类目高偏好,汽车音响改装
二级类目高偏好,电路板
二级类目高偏好,箱包
二级类目高偏好,风筝
二级类目高偏好,农业机械
母婴行业-母婴育龄人群 2.0,15-18岁
母婴行业-母婴育龄人群 2.0,12-15岁
母婴行业-母婴育龄人群 2.0,6-12岁
母婴行业-母婴育龄人群 2.0,3-6岁
母婴行业-母婴育龄人群 2.0,1-3岁
母婴行业-母婴育龄人群 2.0,0-1岁
母婴行业-母婴育龄人群 2.0,孕期
母婴行业-母婴育龄人群 2.0,备孕期
母婴行业-童装童鞋儿童风格偏好人群,童装童鞋儿童风格偏好人群
母婴行业-纸尿裤年消费频次,1次
母婴行业-纸尿裤年消费频次,2次
母婴行业-纸尿裤年消费频次,3次
母婴行业-纸尿裤年消费频次,4-5次
母婴行业-纸尿裤年消费频次,6-8次
母婴行业-纸尿裤年消费频次,9-10次
母婴行业-纸尿裤年消费频次,10次以上
母婴行业-纸尿裤年消费金额分段,1-99元
母婴行业-纸尿裤年消费金额分段,100-199元
母婴行业-纸尿裤年消费金额分段,200-299元
母婴行业-纸尿裤年消费金额分段,300-499元
母婴行业-纸尿裤年消费金额分段,500-999元
母婴行业-纸尿裤年消费金额分段,1000-1499元
母婴行业-纸尿裤年消费金额分段,1500-1999元
母婴行业-纸尿裤年消费金额分段,2000元及以上
母婴行业-纸尿裤型号,NB
母婴行业-纸尿裤型号,S
母婴行业-纸尿裤型号,M
母婴行业-纸尿裤型号,L
母婴行业-纸尿裤型号,XL
母婴行业-纸尿裤型号,XXL
母婴行业-纸尿裤型号,XXXL或以上
母婴行业-奶粉价格段偏好,0-49元
母婴行业-奶粉价格段偏好,50-99元
母婴行业-奶粉价格段偏好,100-149元
母婴行业-奶粉价格段偏好,150-199元
母婴行业-奶粉价格段偏好,200-299元
母婴行业-奶粉价格段偏好,300-499元
母婴行业-奶粉价格段偏好,500-799元
母婴行业-奶粉价格段偏好,800-999元
母婴行业-奶粉价格段偏好,1000元及以上
母婴行业-奶粉年消费频次,1次
